Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SSNLF,SSNLF,SSNLF,SSNLF,SSNLF,SSNLF
Date,,,,,,
2001-08-06,-Infinity,139.7100067138672,139.7100067138672,139.7100067138672,139.7100067138672,0
2001-08-07,-Infinity,2.7941999435424805,2.7941999435424805,2.7941999435424805,2.7941999435424805,15000
2001-08-08,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-09,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-10,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-13,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-14,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-15,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-16,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-17,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-20,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-21,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-22,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-23,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-24,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-27,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-28,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-29,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-30,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-08-31,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,0
2001-09-04,-Infinity,2.99153995513916,2.99153995513916,2.99153995513916,2.99153995513916,15000
2001-09-05,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-06,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-07,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-10,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-17,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-18,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-19,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-20,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-21,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-24,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-25,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-26,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-27,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-09-28,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-01,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-02,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-03,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-04,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-05,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-08,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-09,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-10,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-11,-Infinity,2.929680109024048,2.929680109024048,2.929680109024048,2.929680109024048,0
2001-10-12,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-15,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-16,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-17,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-18,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-19,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-22,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-23,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-24,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-25,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-26,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-29,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-30,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-10-31,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-01,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-02,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-05,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-06,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-07,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-08,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-09,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-12,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-13,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-14,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-15,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-16,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-19,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-20,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-21,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-23,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-26,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-27,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-28,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-29,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-11-30,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-03,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-04,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-05,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-06,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-07,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-10,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-11,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-12,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-13,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
2001-12-14,-Infinity,2.426460027694702,2.426460027694702,2.426460027694702,2.426460027694702,15000
